 lambda      Rs      Ts      As      Rp      Tp      Ap
745.1923 52.1225 41.7386  6.1389 52.1225 41.7386  6.1389
744.7447 52.2207 41.6271  6.1522 52.2207 41.6271  6.1522
744.2977 52.3153 41.5185  6.1662 52.3153 41.5185  6.1662
743.8512 52.4063 41.4130  6.1808 52.4063 41.4130  6.1808
743.4053 52.4936 41.3104  6.1960 52.4936 41.3104  6.1960
742.9599 52.5773 41.2108  6.2119 52.5773 41.2108  6.2119
742.5150 52.6574 41.1142  6.2284 52.6574 41.1142  6.2284
742.0706 52.7338 41.0206  6.2456 52.7338 41.0206  6.2456
741.6268 52.8065 40.9300  6.2635 52.8065 40.9300  6.2635
741.1835 52.8756 40.8424  6.2820 52.8756 40.8424  6.2820
740.7407 52.9410 40.7577  6.3013 52.9410 40.7577  6.3013
740.2985 53.0027 40.6760  6.3212 53.0027 40.6760  6.3212
739.8568 53.0608 40.5973  6.3419 53.0608 40.5973  6.3419
739.4156 53.1151 40.5216  6.3633 53.1151 40.5216  6.3633
738.9750 53.1657 40.4489  6.3854 53.1657 40.4489  6.3854
738.5348 53.2126 40.3792  6.4082 53.2126 40.3792  6.4082
738.0952 53.2557 40.3125  6.4318 53.2557 40.3125  6.4318
737.6562 53.2951 40.2487  6.4562 53.2951 40.2487  6.4562
737.2176 53.3308 40.1880  6.4813 53.3308 40.1880  6.4813
736.7796 53.3626 40.1303  6.5072 53.3626 40.1303  6.5072
736.3420 53.3906 40.0755  6.5338 53.3906 40.0755  6.5338
735.9050 53.4149 40.0238  6.5613 53.4149 40.0238  6.5613
735.4686 53.4353 39.9751  6.5896 53.4353 39.9751  6.5896
735.0326 53.4518 39.9295  6.6187 53.4518 39.9295  6.6187
734.5972 53.4645 39.8868  6.6487 53.4645 39.8868  6.6487
734.1622 53.4733 39.8473  6.6794 53.4733 39.8473  6.6794
733.7278 53.4782 39.8107  6.7111 53.4782 39.8107  6.7111
733.2939 53.4792 39.7772  6.7436 53.4792 39.7772  6.7436
732.8605 53.4762 39.7468  6.7770 53.4762 39.7468  6.7770
732.4276 53.4692 39.7195  6.8113 53.4692 39.7195  6.8113
731.9953 53.4583 39.6952  6.8465 53.4583 39.6952  6.8465
731.5634 53.4434 39.6740  6.8826 53.4434 39.6740  6.8826
731.1321 53.4244 39.6560  6.9197 53.4244 39.6560  6.9197
730.7012 53.4013 39.6410  6.9577 53.4013 39.6410  6.9577
730.2709 53.3741 39.6292  6.9966 53.3741 39.6292  6.9966
729.8411 53.3429 39.6206  7.0366 53.3429 39.6206  7.0366
729.4118 53.3074 39.6151  7.0775 53.3074 39.6151  7.0775
728.9830 53.2678 39.6127  7.1195 53.2678 39.6127  7.1195
728.5546 53.2240 39.6136  7.1624 53.2240 39.6136  7.1624
728.1268 53.1759 39.6176  7.2064 53.1759 39.6176  7.2064
727.6995 53.1236 39.6249  7.2515 53.1236 39.6249  7.2515
727.2727 53.0670 39.6354  7.2976 53.0670 39.6354  7.2976
726.8464 53.0060 39.6491  7.3449 53.0060 39.6491  7.3449
726.4206 52.9407 39.6661  7.3932 52.9407 39.6661  7.3932
725.9953 52.8709 39.6864  7.4426 52.8709 39.6864  7.4426
725.5705 52.7967 39.7101  7.4932 52.7967 39.7101  7.4932
725.1462 52.7180 39.7370  7.5450 52.7180 39.7370  7.5450
724.7224 52.6348 39.7673  7.5979 52.6348 39.7673  7.5979
724.2991 52.5471 39.8009  7.6520 52.5471 39.8009  7.6520
723.8762 52.4547 39.8380  7.7074 52.4547 39.8380  7.7074
723.4539 52.3577 39.8784  7.7639 52.3577 39.8784  7.7639
723.0321 52.2559 39.9223  7.8218 52.2559 39.9223  7.8218
722.6107 52.1495 39.9697  7.8809 52.1495 39.9697  7.8809
722.1899 52.0383 40.0205  7.9412 52.0383 40.0205  7.9412
721.7695 51.9222 40.0748  8.0030 51.9222 40.0748  8.0030
721.3496 51.8013 40.1327  8.0660 51.8013 40.1327  8.0660
720.9302 51.6754 40.1942  8.1304 51.6754 40.1942  8.1304
720.5113 51.5446 40.2592  8.1962 51.5446 40.2592  8.1962
720.0929 51.4088 40.3278  8.2634 51.4088 40.3278  8.2634
719.6750 51.2678 40.4001  8.3320 51.2678 40.4001  8.3320
719.2575 51.1218 40.4761  8.4021 51.1218 40.4761  8.4021
718.8406 50.9706 40.5557  8.4737 50.9706 40.5557  8.4737
718.4241 50.8141 40.6392  8.5467 50.8141 40.6392  8.5467
718.0081 50.6524 40.7263  8.6213 50.6524 40.7263  8.6213
717.5926 50.4853 40.8173  8.6974 50.4853 40.8173  8.6974
717.1776 50.3128 40.9121  8.7751 50.3128 40.9121  8.7751
716.7630 50.1349 41.0107  8.8544 50.1349 41.0107  8.8544
716.3489 49.9514 41.1133  8.9353 49.9514 41.1133  8.9353
715.9353 49.7623 41.2198  9.0179 49.7623 41.2198  9.0179
715.5222 49.5676 41.3302  9.1022 49.5676 41.3302  9.1022
715.1096 49.3672 41.4446  9.1882 49.3672 41.4446  9.1882
714.6974 49.1610 41.5631  9.2759 49.1610 41.5631  9.2759
714.2857 48.9490 41.6857  9.3654 48.9490 41.6857  9.3654
713.8745 48.7311 41.8123  9.4566 48.7311 41.8123  9.4566
713.4638 48.5072 41.9431  9.5497 48.5072 41.9431  9.5497
713.0535 48.2773 42.0781  9.6447 48.2773 42.0781  9.6447
712.6437 48.0412 42.2173  9.7415 48.0412 42.2173  9.7415
712.2343 47.7991 42.3607  9.8402 47.7991 42.3607  9.8402
711.8255 47.5506 42.5085  9.9409 47.5506 42.5085  9.9409
711.4171 47.2959 42.6605 10.0436 47.2959 42.6605 10.0436
711.0092 47.0348 42.8170 10.1482 47.0348 42.8170 10.1482
710.6017 46.7673 42.9778 10.2549 46.7673 42.9778 10.2549
710.1947 46.4932 43.1431 10.3637 46.4932 43.1431 10.3637
709.7882 46.2126 43.3129 10.4745 46.2126 43.3129 10.4745
709.3822 45.9253 43.4871 10.5875 45.9253 43.4871 10.5875
708.9766 45.6313 43.6660 10.7027 45.6313 43.6660 10.7027
708.5714 45.3305 43.8494 10.8200 45.3305 43.8494 10.8200
708.1668 45.0229 44.0375 10.9396 45.0229 44.0375 10.9396
707.7626 44.7083 44.2303 11.0614 44.7083 44.2303 11.0614
707.3588 44.3867 44.4277 11.1856 44.3867 44.4277 11.1856
706.9555 44.0581 44.6299 11.3120 44.0581 44.6299 11.3120
706.5527 43.7223 44.8369 11.4408 43.7223 44.8369 11.4408
706.1503 43.3793 45.0487 11.5721 43.3793 45.0487 11.5721
705.7484 43.0290 45.2653 11.7057 43.0290 45.2653 11.7057
705.3470 42.6715 45.4868 11.8418 42.6715 45.4868 11.8418
704.9460 42.3065 45.7132 11.9803 42.3065 45.7132 11.9803
704.5455 41.9341 45.9445 12.1214 41.9341 45.9445 12.1214
704.1454 41.5542 46.1808 12.2650 41.5542 46.1808 12.2650
703.7457 41.1667 46.4220 12.4112 41.1667 46.4220 12.4112
703.3466 40.7717 46.6683 12.5600 40.7717 46.6683 12.5600
702.9478 40.3689 46.9196 12.7115 40.3689 46.9196 12.7115
702.5496 39.9585 47.1759 12.8656 39.9585 47.1759 12.8656
702.1518 39.5403 47.4373 13.0224 39.5403 47.4373 13.0224
701.7544 39.1143 47.7038 13.1819 39.1143 47.7038 13.1819
701.3575 38.6805 47.9753 13.3442 38.6805 47.9753 13.3442
700.9610 38.2388 48.2520 13.5092 38.2388 48.2520 13.5092
700.5650 37.7892 48.5337 13.6771 37.7892 48.5337 13.6771
700.1694 37.3318 48.8205 13.8477 37.3318 48.8205 13.8477
