 lambda      Rs      Ts      As      Rp      Tp      Ap
720.5113 72.6616 22.1114  5.2271 72.6616 22.1114  5.2271
720.0929 72.5927 22.1455  5.2618 72.5927 22.1455  5.2618
719.6750 72.5219 22.1809  5.2971 72.5219 22.1809  5.2971
719.2575 72.4493 22.2177  5.3330 72.4493 22.2177  5.3330
718.8406 72.3748 22.2557  5.3695 72.3748 22.2557  5.3695
718.4241 72.2984 22.2950  5.4066 72.2984 22.2950  5.4066
718.0081 72.2201 22.3356  5.4443 72.2201 22.3356  5.4443
717.5926 72.1399 22.3775  5.4826 72.1399 22.3775  5.4826
717.1776 72.0577 22.4207  5.5216 72.0577 22.4207  5.5216
716.7630 71.9735 22.4653  5.5612 71.9735 22.4653  5.5612
716.3489 71.8874 22.5111  5.6014 71.8874 22.5111  5.6014
715.9353 71.7993 22.5583  5.6423 71.7993 22.5583  5.6423
715.5222 71.7092 22.6068  5.6839 71.7092 22.6068  5.6839
715.1096 71.6171 22.6567  5.7262 71.6171 22.6567  5.7262
714.6974 71.5230 22.7079  5.7691 71.5230 22.7079  5.7691
714.2857 71.4268 22.7605  5.8127 71.4268 22.7605  5.8127
713.8745 71.3285 22.8144  5.8571 71.3285 22.8144  5.8571
713.4638 71.2282 22.8697  5.9022 71.2282 22.8697  5.9022
713.0535 71.1257 22.9263  5.9480 71.1257 22.9263  5.9480
712.6437 71.0211 22.9843  5.9945 71.0211 22.9843  5.9945
712.2343 70.9144 23.0438  6.0418 70.9144 23.0438  6.0418
711.8255 70.8055 23.1046  6.0899 70.8055 23.1046  6.0899
711.4171 70.6944 23.1668  6.1387 70.6944 23.1668  6.1387
711.0092 70.5812 23.2305  6.1884 70.5812 23.2305  6.1884
710.6017 70.4657 23.2955  6.2388 70.4657 23.2955  6.2388
710.1947 70.3479 23.3620  6.2901 70.3479 23.3620  6.2901
709.7882 70.2279 23.4299  6.3421 70.2279 23.4299  6.3421
709.3822 70.1056 23.4993  6.3951 70.1056 23.4993  6.3951
708.9766 69.9810 23.5702  6.4489 69.9810 23.5702  6.4489
708.5714 69.8540 23.6425  6.5035 69.8540 23.6425  6.5035
708.1668 69.7247 23.7162  6.5591 69.7247 23.7162  6.5591
707.7626 69.5930 23.7915  6.6155 69.5930 23.7915  6.6155
707.3588 69.4589 23.8683  6.6728 69.4589 23.8683  6.6728
706.9555 69.3223 23.9466  6.7311 69.3223 23.9466  6.7311
706.5527 69.1833 24.0263  6.7903 69.1833 24.0263  6.7903
706.1503 69.0418 24.1077  6.8505 69.0418 24.1077  6.8505
705.7484 68.8978 24.1905  6.9117 68.8978 24.1905  6.9117
705.3470 68.7513 24.2749  6.9738 68.7513 24.2749  6.9738
704.9460 68.6021 24.3609  7.0370 68.6021 24.3609  7.0370
704.5455 68.4504 24.4484  7.1012 68.4504 24.4484  7.1012
704.1454 68.2961 24.5375  7.1664 68.2961 24.5375  7.1664
703.7457 68.1391 24.6282  7.2327 68.1391 24.6282  7.2327
703.3466 67.9794 24.7206  7.3000 67.9794 24.7206  7.3000
702.9478 67.8170 24.8145  7.3685 67.8170 24.8145  7.3685
702.5496 67.6519 24.9101  7.4380 67.6519 24.9101  7.4380
702.1518 67.4840 25.0073  7.5087 67.4840 25.0073  7.5087
701.7544 67.3133 25.1061  7.5806 67.3133 25.1061  7.5806
701.3575 67.1397 25.2066  7.6536 67.1397 25.2066  7.6536
700.9610 66.9633 25.3088  7.7278 66.9633 25.3088  7.7278
700.5650 66.7840 25.4127  7.8032 66.7840 25.4127  7.8032
700.1694 66.6018 25.5183  7.8799 66.6018 25.5183  7.8799
